PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;us-east-1;2026-05-11 11:38:15.308145;BAR-001;You must perform regular backups to a durable storage service. Backups ensure that you have the ability to recover from administrative, logical, or physical error scenarios. Configure backups to be taken automatically based on a periodic schedule, or by changes in the dataset. RDS instances, EBS volumes, DynamoDB tables, and S3 objects can all be configured for automatic backup. AWS Backup, AWS Marketplace solutions or third-party solutions can also be used. If objects in S3 bucket are write-once-read-many (WORM), compensating controls such as object lock can be used meet this requirement. If it is customers’ responsibility to backup their data, it must be clearly stated in the documentation and the Partner must provide clear instructions on how to backup the data.;Architectural and Operational Controls;;;;Automated;FAIL;No Backup Vault exist.;arn:aws:backup:us-east-1:936102779352:backup-vault;backup_vaults_exist;False;936102779352;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;us-east-1;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;EC2 Instance i-00acaf6885e4962c7 has a Public IP: 98.83.119.14 (ec2-98-83-119-14.compute-1.amazonaws.com).;arn:aws:ec2:us-east-1:936102779352:instance/i-00acaf6885e4962c7;ec2_instance_public_ip;False;i-00acaf6885e4962c7;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;us-east-1;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group lab-sg-vulnerable (sg-07831470fe727a3a9) has no potential wide-open non-RFC1918 address.;arn:aws:ec2:us-east-1:936102779352:security-group/sg-07831470fe727a3a9;ec2_securitygroup_allow_wide_open_public_ipv4;False;sg-07831470fe727a3a9;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;us-east-1;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group lab-sg-vulnerable (sg-07831470fe727a3a9) it is being used.;arn:aws:ec2:us-east-1:936102779352:security-group/sg-07831470fe727a3a9;ec2_securitygroup_not_used;False;sg-07831470fe727a3a9;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;ap-northeast-1;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group default (sg-0937a400a39579122) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-northeast-1:936102779352:security-group/sg-0937a400a39579122;ec2_securitygroup_with_many_ingress_egress_rules;False;sg-0937a400a39579122;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;ap-northeast-2;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group default (sg-0a44edb4f27286680) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-northeast-2:936102779352:security-group/sg-0a44edb4f27286680;ec2_securitygroup_with_many_ingress_egress_rules;False;sg-0a44edb4f27286680;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;ap-northeast-3;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group default (sg-0a9e5ba5279899bd8) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-northeast-3:936102779352:security-group/sg-0a9e5ba5279899bd8;ec2_securitygroup_with_many_ingress_egress_rules;False;sg-0a9e5ba5279899bd8;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;ap-south-1;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group default (sg-0ca14ec7d67518c7f) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-south-1:936102779352:security-group/sg-0ca14ec7d67518c7f;ec2_securitygroup_with_many_ingress_egress_rules;False;sg-0ca14ec7d67518c7f;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;ap-southeast-1;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group default (sg-008f86c2937fc4707) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-1:936102779352:security-group/sg-008f86c2937fc4707;ec2_securitygroup_with_many_ingress_egress_rules;False;sg-008f86c2937fc4707;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;936102779352;ap-southeast-2;2026-05-11 11:38:15.308145;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;PASS;Security group default (sg-065425e1ae5e92312) has 1 inbound rules and 1 outbound rules.;arn:aws:ec2:ap-southeast-2:936102779352:security-group/sg-065425e1ae5e92312;ec2_securitygroup_with_many_ingress_egress_rules;False;sg-065425e1ae5e92312;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
