Priority,Severity,CVSS Range,Source,Service,Check ID,Title,Resource,Region,SLA (Days),Status,Discovered,Remediation
1,CRITICAL,9.0-10.0,Prowler,iam,iam_aws_attached_policy_no_administrative_privileges,Attached AWS-managed IAM policy does not allow '*:*' administrative privileges,arn:aws:iam::aws:policy/AdministratorAccess,us-east-1,3,OPEN,2026-05-11,"Apply **least privilege**: avoid attaching AWS-managed policies that grant `*:*`.
- Use **customer-managed, scoped polic"
1,CRITICAL,9.0-10.0,Prowler,iam,iam_root_hardware_mfa_enabled,Root account has a hardware MFA device enabled,arn:aws:iam::936102779352:mfa,us-east-1,3,OPEN,2026-05-11,Require a **hardware MFA token** for the root user and remove any virtual MFA. Apply **least privilege**: avoid using ro
1,CRITICAL,9.0-10.0,Prowler,iam,iam_root_mfa_enabled,Root account has MFA enabled,arn:aws:iam::936102779352:root,us-east-1,3,OPEN,2026-05-11,"Enable **MFA** for the root user, preferably **hardware-based** or a dedicated, managed device. Remove root access keys "
1,CRITICAL,9.0-10.0,Prowler,iam,iam_user_administrator_access_policy,IAM user does not have AdministratorAccess policy attached,arn:aws:iam::936102779352:user/lab-admin,us-east-1,3,OPEN,2026-05-11,"Remove direct `AdministratorAccess` from users.
- Apply **least privilege** with scoped policies
- Use **federation** an"
2,HIGH,7.0-8.9,Prowler,ec2,ec2_ebs_default_encryption,EBS default encryption is enabled,arn:aws:ec2:us-east-1:936102779352:volume,us-east-1,7,OPEN,2026-05-11,Enable `EBS encryption by default` in every region and select a **customer-managed KMS key**. Apply **least privilege** 
2,HIGH,7.0-8.9,Prowler,ec2,ec2_ebs_volume_encryption,EBS volume is encrypted,arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14,us-east-1,7,OPEN,2026-05-11,"Encrypt all EBS volumes and enable `encryption by default` for new volumes and snapshot copies.

Apply **least privilege"
2,HIGH,7.0-8.9,Prowler,ec2,ec2_ebs_volume_snapshots_exists,EBS volume has at least one snapshot,arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14,us-east-1,7,OPEN,2026-05-11,"Establish automated, policy-based **EBS snapshot** coverage for all volumes aligned to business `RPO/RTO`.
- Schedule re"
2,HIGH,7.0-8.9,Prowler,ec2,ec2_instance_account_imdsv2_enabled,IMDSv2 is required by default for EC2 instances at the account level,arn:aws:ec2:us-east-1:936102779352:account,us-east-1,7,OPEN,2026-05-11,Enforce **IMDSv2** at the account level in every Region by setting `http_tokens` to `required`. Add guardrails with **SC
2,HIGH,7.0-8.9,Prowler,ec2,ec2_networkacl_allow_ingress_any_port,Network ACL does not allow ingress from 0.0.0.0/0 to any port,arn:aws:ec2:us-east-1:936102779352:network-acl/acl-08c37af8e,us-east-1,7,OPEN,2026-05-11,Adopt a **deny-by-default** NACL posture: block `0.0.0.0/0` and allow only required ports from trusted CIDRs. Apply **le
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-northeast-1:936102779352:detector/unkno,ap-northeast-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-northeast-2:936102779352:detector/unkno,ap-northeast-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-northeast-3:936102779352:detector/unkno,ap-northeast-3,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-south-1:936102779352:detector/unknown,ap-south-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-southeast-1:936102779352:detector/unkno,ap-southeast-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-southeast-2:936102779352:detector/unkno,ap-southeast-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ca-central-1:936102779352:detector/unknown,ca-central-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-central-1:936102779352:detector/unknown,eu-central-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-north-1:936102779352:detector/unknown,eu-north-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-west-1:936102779352:detector/unknown,eu-west-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-west-2:936102779352:detector/unknown,eu-west-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-west-3:936102779352:detector/unknown,eu-west-3,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:sa-east-1:936102779352:detector/unknown,sa-east-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-east-1:936102779352:detector/accf0c1fac,us-east-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-east-2:936102779352:detector/unknown,us-east-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-west-1:936102779352:detector/unknown,us-west-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-west-2:936102779352:detector/unknown,us-west-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-northeast-1:936102779352:detector/unkno,ap-northeast-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-northeast-2:936102779352:detector/unkno,ap-northeast-2,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-northeast-3:936102779352:detector/unkno,ap-northeast-3,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-south-1:936102779352:detector/unknown,ap-south-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
