PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;1.0.3;Checks whether EBS volumes that are in an attached state are encrypted;EBS checks;;;ebs;;FAIL;EBS Default Encryption is not activated.;arn:aws:ec2:us-east-1:936102779352:volume;ec2_ebs_default_encryption;False;936102779352;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;1.0.3;Checks whether EBS volumes that are in an attached state are encrypted;EBS checks;;;ebs;;FAIL;EBS Snapshot vol-0fa77f8d51ad14783 is unencrypted.;arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14783;ec2_ebs_volume_encryption;False;vol-0fa77f8d51ad14783;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;1.0.2;Checks whether EBS volumes are attached to EC2 instances;EBS checks;;;ebs;;FAIL;Snapshots not found for the EBS volume vol-0fa77f8d51ad14783.;arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14783;ec2_ebs_volume_snapshots_exists;False;vol-0fa77f8d51ad14783;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.3;Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::936102779352:mfa;iam_root_hardware_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.1;Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::936102779352:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.2;Checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::936102779352:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.3;Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::936102779352:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.1;Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.;Multi-Factor Authentication;;;iam;;FAIL;User lab-admin does not have any type of MFA enabled.;arn:aws:iam::936102779352:user/lab-admin;iam_user_hardware_mfa_enabled;False;lab-admin;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.2;Checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.;Multi-Factor Authentication;;;iam;;FAIL;User lab-admin does not have any type of MFA enabled.;arn:aws:iam::936102779352:user/lab-admin;iam_user_hardware_mfa_enabled;False;lab-admin;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;936102779352;us-east-1;2026-05-11 11:38:15.308145;3.0.1;Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.;Multi-Factor Authentication;;;iam;;PASS;User lab-admin does not have Console Password enabled.;arn:aws:iam::936102779352:user/lab-admin;iam_user_mfa_enabled_console_access;False;lab-admin;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
